mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0018172264099121094,0.000630462067952543,0.0,0.0,liblinear,elasticnet,0.1,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,4
0.01182087262471517,0.0016743983005151214,0.003267208735148112,0.0006800470918302294,liblinear,l1,100.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 100}",0.8209134615384616,0.8052884615384616,0.8112980769230769,0.8125,0.006435247758096563,1
0.002158006032307943,0.0010236481695149588,0.0,0.0,newton-cg,elasticnet,10.0,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 10}",,,,,,4
0.019643227259318035,0.002246823061095195,0.0024536450703938804,0.0009337178046504134,sag,,10.0,"{'solver': 'sag', 'penalty': None, 'C': 10}",0.8197115384615384,0.8052884615384616,0.8125,0.8125,0.005888196497074926,1
0.0012787977854410808,6.20964330898924e-05,0.0,0.0,newton-cg,l1,0.1,"{'solver': 'newton-cg', 'penalty': 'l1', 'C': 0.1}",,,,,,4
0.023298263549804688,0.01697174677942045,0.002392927805582682,0.0007504567647330318,lbfgs,,10.0,"{'solver': 'lbfgs', 'penalty': None, 'C': 10}",0.8209134615384616,0.8040865384615384,0.8112980769230769,0.8120993589743589,0.006892888835771358,3
0.001166979471842448,0.00016474158333622366,0.0,0.0,lbfgs,elasticnet,0.1,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,4
0.0011852582295735676,7.88922559000793e-05,0.0,0.0,newton-cg,elasticnet,1.0,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,4
0.001144091288248698,5.881238622890974e-05,0.0,0.0,lbfgs,elasticnet,1.0,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,4
0.0014836788177490234,0.0001877754820492975,0.0,0.0,sag,l1,10.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 10}",,,,,,4
