,lead_id,lead_indicator,date_part,source,domain,country,customer_group,onboarding,customer_code
0,0,0.0,2024-01-16,fb,.com,US,5,True,AAAEJOLSFX
1,2,,,,,,,,AACEDUWABX
2,3,,,,,,,,AAHRNZGAYT
3,4,,,,,,,,AAJURHRBIM
4,5,,,,,,,,AAMFOUYNWS
5,6,,,,,,,,AANSZABEBA
6,7,,,,,,,,AAOOSHAHJC
7,8,,,,,,,,AAORCMYHKP
8,9,,,,,,,,AAQCTGMUBT
9,10,,,,,,,,AAQVMSZPXW
10,12,,,,,,,,AAQXCWKSNE
11,13,,,,,,,,AARPLINFJB
12,14,,,,,,,,AARPSKRPGF
13,15,,,,,,,,AAUCZHARKU
14,16,,,,,,,,AAUIGANWGV
15,17,,,,,,,,AAVSQCXHDD
16,18,,,,,,,,AAXKODEIPG
17,19,,,,,,,,AAXSAOLBDU
18,20,,,,,,,,AAYMRERFIE
19,21,,,,,,,,ABAORKHODJ
20,22,,,,,,,,ABDGOVHIQP
21,23,,,,,,,,ABDUSEOFRJ
22,24,,,,,,,,ABDZNSNDWE
23,25,,,,,,,,ABEXAJKQHG
24,26,,,,,,,,ABFPRHWKCZ
25,27,,,,,,,,ABFWAAUKSK
26,28,,,,,,,,ABFYTZVNNY
27,29,,,,,,,,ABHCGPZJJV
28,30,,,,,,,,ABHYDIVZDH
29,31,,,,,,,,ABJTHQROEM
30,32,,,,,,,,ABKNDWRTIM
31,33,,,,,,,,ABMKWJFMHV
32,35,,,,,,,,ABONZPALRI
33,36,,,,,,,,ABOQAGKJAJ
34,37,,,,,,,,ABSBFFYSOB
35,38,,,,,,,,ABTLWWUEVB
36,39,,,,,,,,ABTSQBEZQR
37,40,,,,,,,,ABVBRHFQEU
38,41,,,,,,,,ABVMQKTVVY
39,42,,,,,,,,ABVQSIOUOC
40,43,,,,,,,,ABWJHHOOBT
41,44,,,,,,,,ABYRDNVMHG
42,45,,,,,,,,ABZXFHMXUD
43,46,,,,,,,,ACFAPHKOOC
44,47,,,,,,,,ACFLHNBESW
45,48,,,,,,,,ACFPPNOJFT
46,49,,,,,,,,ACFSSZZNVZ
47,51,,,,,,,,ACGKSOAKJZ
